Order_ID,Date,Customer_ID,Customer_Segment,Region,Category,Product,Quantity,Unit_Price,Total_Sales,Discount_Percent,Discount_Amount,Final_Price,Payment_Method
ORD1640,2023-01-01,CUST2008,Regular,Medan,Sports,Dumbbells,1,288.23,288.23,0,0.0,288.23,E-Wallet
ORD1018,2023-01-01,CUST1494,VIP,Jakarta,Sports,Running Shoes,2,401.11,802.22,15,120.33,681.89,Credit Card
ORD3991,2023-01-01,CUST1380,VIP,Jakarta,Home & Living,Vacuum Cleaner,4,252.71,1010.84,15,151.63,859.21,Debit Card
ORD3702,2023-01-01,CUST2247,Premium,Semarang,Electronics,Smartphone,1,274.83,274.83,0,0.0,274.83,Bank Transfer
ORD4365,2023-01-01,CUST1314,Premium,Semarang,Books,Biography,3,48.59,145.77,10,14.58,131.19,Credit Card
ORD2921,2023-01-01,CUST1782,VIP,Jakarta,Electronics,Headphones,1,122.54,122.54,10,12.25,110.29,Debit Card
ORD3032,2023-01-01,CUST1340,Premium,Bandung,Electronics,Smartphone,2,1295.32,2590.64,0,0.0,2590.64,Credit Card
ORD4268,2023-01-01,CUST1566,Regular,Surabaya,Home & Living,Bedding Set,2,232.63,465.26,0,0.0,465.26,Bank Transfer
ORD3128,2023-01-01,CUST1056,Premium,Bandung,Books,Magazine,5,23.96,119.8,10,11.98,107.82,E-Wallet
ORD3213,2023-01-02,CUST1113,Premium,Medan,Electronics,Camera,7,1285.7,8999.9,5,450.0,8549.9,Credit Card
ORD4740,2023-01-02,CUST2045,Regular,Surabaya,Electronics,Headphones,5,366.58,1832.9,0,0.0,1832.9,Credit Card
ORD5141,2023-01-02,CUST1081,Premium,Medan,Sports,Sports Bottle,1,554.42,554.42,0,0.0,554.42,Debit Card
ORD3518,2023-01-02,CUST2128,Premium,Bandung,Books,Fiction Novel,3,13.63,40.89,0,0.0,40.89,E-Wallet
ORD3842,2023-01-03,CUST1826,Regular,Semarang,Electronics,Laptop,6,76.35,458.1,0,0.0,458.1,E-Wallet
ORD4050,2023-01-03,CUST1226,Regular,Makassar,Books,Biography,1,37.42,37.42,0,0.0,37.42,Bank Transfer
ORD2064,2023-01-03,CUST2427,Premium,Jakarta,Sports,Bicycle,2,23.34,46.68,5,2.33,44.35,E-Wallet
ORD4338,2023-01-03,CUST1956,Premium,Medan,Clothing,Backpack,2,64.04,128.08,0,0.0,128.08,Bank Transfer
ORD3045,2023-01-03,CUST2434,VIP,Bandung,Books,Business Book,3,11.31,33.93,15,5.09,28.84,E-Wallet
ORD1369,2023-01-03,CUST2095,Premium,Makassar,Electronics,Camera,1,1459.62,1459.62,5,72.98,1386.64,Bank Transfer
ORD4587,2023-01-04,CUST1465,Premium,Medan,Electronics,Tablet,3,834.86,2504.58,10,250.46,2254.12,Credit Card
ORD4347,2023-01-04,CUST2099,Premium,Jakarta,Books,Self-Help Book,1,31.66,31.66,0,0.0,31.66,Debit Card
ORD4687,2023-01-04,CUST1036,Regular,Medan,Clothing,Sneakers,1,110.09,110.09,0,0.0,110.09,Credit Card
ORD4875,2023-01-04,CUST1137,Regular,Bandung,Electronics,Camera,2,1336.8,2673.6,0,0.0,2673.6,Bank Transfer
ORD1016,2023-01-04,CUST2309,VIP,Semarang,Home & Living,Lamp,1,234.54,234.54,20,46.91,187.63,Credit Card
ORD3571,2023-01-04,CUST1313,Premium,Makassar,Electronics,Tablet,5,1370.99,6854.95,10,685.5,6169.45,E-Wallet
ORD4011,2023-01-04,CUST1549,Premium,Bandung,Sports,Running Shoes,1,197.17,197.17,5,9.86,187.31,Debit Card
ORD2390,2023-01-05,CUST2081,Regular,Medan,Books,Cookbook,1,15.24,15.24,0,0.0,15.24,Debit Card
ORD3521,2023-01-05,CUST2097,Premium,Jakarta,Home & Living,Lamp,1,50.98,50.98,10,5.1,45.88,Debit Card
ORD4518,2023-01-05,CUST2250,Premium,Surabaya,Sports,Tennis Racket,1,246.77,246.77,10,24.68,222.09,Debit Card
ORD3467,2023-01-06,CUST2411,VIP,Makassar,Electronics,Laptop,1,753.94,753.94,20,150.79,603.15,Credit Card
ORD4094,2023-01-06,CUST1070,Regular,Semarang,Books,Self-Help Book,1,22.85,22.85,0,0.0,22.85,Debit Card
ORD3098,2023-01-06,CUST1488,Premium,Makassar,Sports,Running Shoes,4,469.82,1879.28,0,0.0,1879.28,Debit Card
ORD2220,2023-01-06,CUST2337,Regular,Jakarta,Sports,Bicycle,7,644.4,4510.8,0,0.0,4510.8,E-Wallet
ORD3283,2023-01-07,CUST1143,Premium,Makassar,Clothing,Jacket,1,129.21,129.21,5,6.46,122.75,Credit Card
ORD1677,2023-01-07,CUST2413,Regular,Bandung,Home & Living,Blender,2,84.08,168.16,0,0.0,168.16,Bank Transfer
ORD4448,2023-01-07,CUST1787,VIP,Surabaya,Clothing,Sneakers,2,61.03,122.06,15,18.31,103.75,Credit Card
ORD2095,2023-01-07,CUST1902,Regular,Jakarta,Home & Living,Coffee Maker,1,45.28,45.28,0,0.0,45.28,Credit Card
ORD4086,2023-01-07,CUST1335,Regular,Bandung,Home & Living,Blender,2,243.74,487.48,0,0.0,487.48,Credit Card
ORD2444,2023-01-07,CUST1248,Regular,Jakarta,Books,Biography,5,37.51,187.55,0,0.0,187.55,Credit Card
ORD5112,2023-01-07,CUST1444,Premium,Semarang,Books,Self-Help Book,1,29.49,29.49,10,2.95,26.54,Debit Card
ORD3519,2023-01-07,CUST2353,Regular,Surabaya,Clothing,Jeans,3,73.25,219.75,0,0.0,219.75,E-Wallet
ORD3593,2023-01-07,CUST1664,VIP,Semarang,Books,Magazine,2,22.61,45.22,10,4.52,40.7,E-Wallet
ORD1003,2023-01-07,CUST1690,Regular,Bandung,Clothing,Backpack,2,72.05,144.1,0,0.0,144.1,Cash
ORD2440,2023-01-07,CUST2331,Regular,Jakarta,Books,Biography,8,28.41,227.28,0,0.0,227.28,Credit Card
ORD1171,2023-01-08,CUST2025,Regular,Surabaya,Books,Magazine,1,27.23,27.23,0,0.0,27.23,E-Wallet
ORD3869,2023-01-08,CUST1305,VIP,Makassar,Home & Living,Bedding Set,1,222.77,222.77,20,44.55,178.22,Debit Card
ORD4624,2023-01-08,CUST2055,Premium,Bandung,Sports,Running Shoes,1,362.59,362.59,0,0.0,362.59,Credit Card
ORD2661,2023-01-08,CUST1855,VIP,Semarang,Electronics,Camera,2,1031.46,2062.92,15,309.44,1753.48,Credit Card
ORD1592,2023-01-08,CUST1873,Regular,Bandung,Books,Magazine,1,18.22,18.22,0,0.0,18.22,Credit Card
ORD1781,2023-01-08,CUST2119,Premium,Surabaya,Sports,Bicycle,2,680.51,1361.02,5,68.05,1292.97,Debit Card
